firm_id,index_date,index_year,n_pre_grants,total_pre_amount,max_single_award,years_first_to_index_days,n_grantors_pre,n_active_years_pre,n_phase1_pre,n_phase2_pre,has_dod,has_nih,has_nsf,has_doe,has_nasa,has_usda,state_at_index,event_1m,days_to_event_1m
firm_05658,2021-08-26,2021,1,116403.0,116403.0,0,1,1,1,0,1,0,0,0,0,0,OH,0,1728
firm_05659,2020-09-22,2020,1,304396.0,304396.0,0,1,1,1,0,0,1,0,0,0,0,AZ,0,2066
firm_05660,2019-07-01,2019,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,PA,0,2515
firm_05661,2017-09-18,2017,4,2777295.0,999696.0,0,2,1,1,3,0,1,0,0,0,0,CT,1,1757
firm_05662,2021-02-09,2021,1,49939.0,49939.0,0,1,1,1,0,1,0,0,0,0,0,CA,1,155
firm_05663,2014-01-01,2014,1,150000.0,150000.0,0,1,1,1,0,0,0,1,0,0,0,AL,0,4522
firm_05664,2010-01-29,2010,3,949945.0,749975.0,339,2,2,2,1,1,0,0,0,1,0,KY,0,5955
firm_05665,2020-06-29,2020,1,199922.0,199922.0,0,1,1,1,0,0,0,0,1,0,0,MA,0,2151
firm_05666,2019-12-12,2020,2,199890.0,150000.0,0,1,1,2,0,1,0,0,0,0,0,PA,0,2351
firm_05667,2021-09-01,2021,2,1509846.0,1210170.0,0,2,1,1,1,0,1,0,0,0,0,CA,0,1722
firm_05668,2021-02-25,2021,1,99489.0,99489.0,0,1,1,1,0,0,0,0,0,0,1,CA,0,1910
firm_05669,2011-03-14,2011,5,1089123.0,750000.0,2337,3,5,4,1,1,0,0,0,0,0,CA,0,5546
